day,orders,orders_7d_ma
2016-09-04,1,1.0
2016-09-15,1,1.0
2016-10-03,7,3.0
2016-10-04,58,16.8
2016-10-05,45,22.4
2016-10-06,48,26.7
2016-10-07,44,29.1
2016-10-08,39,34.6
2016-10-09,22,37.6
2016-10-10,37,41.9
2016-12-23,1,33.7
2017-01-05,32,31.9
2017-01-06,4,25.6
2017-01-07,4,19.9
2017-01-08,6,15.1
2017-01-09,5,12.7
2017-01-10,6,8.3
2017-01-11,11,9.7
2017-01-12,13,7.0
2017-01-13,11,8.0
2017-01-14,18,10.0
2017-01-15,14,11.1
2017-01-16,19,13.1
2017-01-17,32,16.9
2017-01-18,33,20.0
2017-01-19,29,22.3
2017-01-20,29,24.9
2017-01-21,24,25.7
2017-01-22,31,28.1
2017-01-23,39,31.0
